710E,3665,2
7111,711,10
711E,366E,2
7125,7124,1
7131,713,10
7135,7134,1
7141,1940,4
7151,6X,106
716E,3695,2
7175,7174,1
7187,246X,3
718E,36X5,2
71E1,1959,4
71E5,71E4,1
71E7,71E6,1
7207,58X,13
7215,7214,1
7221,X93,8
7225,7224,1
7231,3X,1X6
7241,1248,6
7245,7244,1
7257,7256,1
7261,373,20
7275,7274,1
727E,373E,2
7287,7286,1
728E,3745,2
7295,7294,1
729E,374E,2
72X7,24E6,3
72E1,3756,2
72EE,375E,2
730E,3765,2
7311,3766,2
7317,982,9
7321,3770,2
7335,7334,1
7341,3780,2
7347,986,9
7351,19X3,4
7361,3790,2
736E,891,X
7371,737,10
7377,7376,1
7391,739,10
7395,1568,5
739E,37XE,2
73X5,73X4,1
73XE,37E5,2
73EE,37EE,2
7415,7414,1
7421,1X06,4
7427,7426,1
7435,7434,1
7441,3820,2
7457,255X,3
745E,382E,2
7471,3836,2
7477,7476,1
7491,453,18
749E,384E,2
74X7,336,23
74E5,74E4,1
7505,7504,1
7507,2582,3
7511,3866,2
7521,3870,2
7531,17X,46
7561,1X46,4
7565,7564,1
756E,3895,2
7577,7576,1
757E,389E,2
7585,7584,1
7587,7586,1
758E,38X5,2
75X5,75X4,1
75E5,75E4,1
75EE,38EE,2
7607,7606,1
7611,761,10
7617,7616,1
761E,390E,2
7635,7634,1
7637,2612,3
763E,391E,2
7641,579,14
7661,393,20
7665,7664,1
766E,3935,2
7675,7674,1
7687,12,659
76E1,1X89,4
76E7,263X,3
76EE,395E,2
7705,7704,1
7715,1628,5
771E,396E,2
7737,2652,3
773E,397E,2
7747,7746,1
774E,3985,2
7757,1636,5
7761,1XX6,4
7767,7766,1
776E,3995,2
7795,7794,1
7797,7796,1
77X5,77X4,1
77E5,1648,5
7801,1340,6
780E,3X05,2
7817,7816,1
7837,1656,5
7841,784,10
7851,1E13,4
7855,7854,1
7867,7866,1
786E,3X35,2
7875,7874,1
7877,7876,1
789E,3X4E,2
78E1,1E29,4
7905,558,15
7907,7906,1
7917,626,13
7921,3X70,2
7925,1678,5
7941,3X8,20
794E,3X85,2
7955,7954,1
795E,3X8E,2
7965,7964,1
7971,3X96,2
797E,3X9E,2
798E,3XX5,2
79X1,E89,8
79XE,3XE5,2
7X01,3E00,2
7X15,7X14,1
7X27,7X26,1
7X35,7X34,1
7X47,7X46,1
7X51,436,1X
7X65,7X64,1
7X6E,3E35,2
7X77,2766,3
7X81,3E40,2
7X95,7X94,1
7XE1,1E89,4
7XEE,3E5E,2
7E01,3E60,2
7E07,2782,3
7E0E,3E65,2
7E11,696,12
7E15,7E14,1
7E25,7E24,1
7E27,7E26,1
7E35,7E34,1
7E37,2792,3
7E41,3E80,2
7E5E,X5,92
7E65,7E64,1
7E67,7E66,1
7E6E,3E95,2
7E85,1718,5
7E91,13E6,6
7E9E,3EXE,2
7EX7,7EX6,1
8005,8004,1
8007,8006,1
8015,8014,1
802E,4015,2
8041,1006,8
8045,8044,1
8047,8046,1
804E,4025,2
8065,8064,1
8067,8066,1
806E,4035,2
8075,8074,1
8081,1414,6
808E,4045,2
8091,1416,6
80E7,80E6,1
80EE,405E,2
8125,8124,1
8127,8126,1
8135,8134,1
8137,8136,1
8151,2043,4
8155,8154,1
816E,4095,2
8175,8174,1
8187,662,13
8195,8194,1
8197,8196,1
819E,40XE,2
81E7,81E6,1
8227,8226,1
8231,4116,2
