771,4,18
772,5,1
773,6,6
774,1,5
775,12,6
776,7,1
777,4,10
778,3,3
779,2,8
77X,1,2
77E,2,16
780,3,1
781,4,8
782,2,4
783,X,2
784,1,3
785,10,6
786,2,1
787,1X,2
788,6,4
789,6,4
78X,3,5
78E,6,6
790,1,3
791,6,6
792,2,1
793,2,2
794,3,2
795,2,4
796,1,2
797,4,6
798,3,1
799,2,8
79X,7,2
79E,6,4
7X0,1,5
7X1,4,32
7X2,3,1
7X3,8,4
7X4,6,5
7X5,2,X
7X6,2,2
7X7,X,2
7X8,2,3
7X9,4,2
7XX,6,3
7XE,10,6
7E0,2,9
7E1,X,2
7E2,5,4
7E3,2,6
7E4,3,2
7E5,6,6
7E6,2,4
7E7,6,2
7E8,2,4
7E9,4,2
7EX,1,3
7EE,6,4
800,1,1
801,1X,6
802,2,1
803,2,2
804,3,2
805,8,10
806,5,6
807,4,10
808,5,4
809,6,4
80X,1,6
80E,28,4
810,4,1
811,6,8
812,2,4
813,8,2
814,4,5
815,2,6
816,1,2
817,6,2
818,3,1
819,2,4
81X,7,2
81E,2,16
820,3,2
821,16,12
822,2,3
823,8,2
824,1,3
825,10,4
826,3,1
827,4,8
828,8,6
829,2,6
82X,1,2
82E,8,6
830,2,1
831,20,2
832,2,4
833,2,2
834,1,2
835,6,14
836,2,1
837,10,2
838,2,4
839,4,2
83X,4,3
83E,2,6
840,1,2
841,6,10
842,3,1
843,4,8
844,3,8
845,2,6
846,6,2
847,6,26
848,2,3
849,12,2
84X,3,8
84E,2,X
850,1,2
851,10,12
852,3,1
853,4,8
854,1,5
855,20,14
856,2,1
857,4,2
858,2,3
859,8,2
85X,1,6
85E,2,16
860,3,1
861,6,6
862,5,3
863,4,X
864,1,12
865,2,X
866,1,1
867,14,10
868,3,1
869,2,4
86X,4,2
86E,6,14
870,1,4
871,14,2
872,2,1
873,4,2
874,7,3
875,8,X
876,3,4
877,4,6
878,3,7
879,X,10
87X,3,5
87E,16,4
880,1,6
881,X,16
882,9,1
883,2,4
884,4,2
885,22,4
886,5,3
887,4,6
888,3,3
889,12,6
88X,1,6
88E,12,X
890,2,1
891,X,2
892,5,X
893,12,4
894,3,6
895,2,4
896,7,2
897,6,12
898,10,3
899,2,8
89X,4,2
89E,2,16
8X0,5,2
8X1,6,26
8X2,2,3
8X3,2,2
8X4,1,2
8X5,18,4
8X6,1,1
8X7,X,2
8X8,6,1
8X9,6,8
8XX,1,6
8XE,6,X
8E0,3,1
8E1,16,12
8E2,6,7
8E3,6,4
8E4,1,3
8E5,2,X
8E6,1,1
8E7,X,18
8E8,3,1
8E9,6,4
8EX,7,3
8EE,2,4
900,1,2
901,4,2
902,5,1
903,4,6
904,1,8
905,18,X
906,1,1
907,14,6
908,2,1
909,10,2
90X,1,3
90E,8,4
910,2,1
911,4,2
912,2,3
913,6,2
914,6,9
915,6,6
916,3,5
917,4,16
918,2,3
919,X,2
91X,1,6
91E,16,16
920,1,1
921,6,8
922,3,1
923,2,6
924,4,2
925,6,6
926,1,4
927,4,10
928,2,1
929,2,2
92X,7,2
92E,2,4
930,5,2
931,4,8
932,3,3
933,2,6
934,6,2
935,12,4
936,2,3
937,10,2
938,3,3
939,2,10
93X,3,2
93E,2,14
940,2,2
941,4,2
942,2,7
943,12,2
944,4,6
945,2,6
946,3,2
947,14,12
948,3,4
949,2,6
94X,4,2
94E,2,4
950,2,2
951,14,2
952,5,3
953,2,18
954,1,2
955,6,4
956,4,1
957,6,8
958,2,3
959,2,2
95X,1,2
95E,8,X
960,5,1
961,4,10
962,2,4
963,X,2
964,1,6
965,10,6
966,2,1
967,4,2
968,2,3
969,6,2
96X,6,3
96E,18,6
970,1,3
971,6,8
972,5,1
973,2,4
974,3,2
975,6,10
976,3,3
977,14,12
978,2,9
979,4,2
97X,9,5
97E,10,4
980,3,5
981,4,12
982,2,6
983,2,2
984,6,2
985,8,10
986,1,4
987,16,2
988,2,1
989,2,2
98X,9,2
98E,6,X
990,7,3
991,6,6
992,3,3
993,6,10
994,1,5
995,2,14
996,3,1
997,6,8
998,20,4
999,4,4
99X,3,3
99E,8,4
9X0,2,5
9X1,4,2
9X2,2,3
9X3,8,2
9X4,3,3
9X5,2,4
9X6,1,2
9X7,4,6
9X8,3,1
9X9,2,8
9XX,1,2
9XE,6,10
9E0,1,1
9E1,4,2
9E2,2,1
9E3,16,2
9E4,1,5
9E5,6,6
9E6,4,1
9E7,4,6
9E8,8,4
9E9,4,X
9EX,1,6
9EE,2,X
X00,6,1
X01,6,8
X02,3,7
X03,2,12
X04,11,2
X05,10,4
X06,1,3
X07,20,6
X08,2,1
X09,8,2
X0X,1,3
X0E,2,24
X10,1,1
X11,4,12
X12,2,1
X13,4,2
X14,6,9
X15,8,4
X16,1,3
X17,X,2
X18,6,1
X19,8,4
X1X,4,5
X1E,2,4
X20,4,2
X21,4,8
X22,5,3
X23,4,4
X24,17,6
X25,2,10
X26,1,2
X27,14,12
X28,8,1
X29,6,6
X2X,3,3
X2E,8,6
X30,2,4
X31,6,2
X32,2,6
X33,8,2
X34,1,8
X35,2,4
X36,1,1
X37,X,8
X38,2,1
X39,2,2
X3X,1,2
X3E,6,X
X40,1,1
