1,2,1
6EX,4737,26
6EE,4761,14
700,4775,2
701,4777,6
702,4781,1X
703,479E,12
704,47E1,6
705,47E7,X
706,4805,10
707,4815,6
708,481E,2
709,4821,4
70X,4825,8
70E,4831,X
710,483E,6
711,4845,6
712,484E,20
713,486E,12
714,4881,6
715,4887,4
716,488E,8
717,4897,10
718,48X7,16
719,4901,X
71X,490E,2
71E,4911,X
720,491E,2
721,4921,4
722,4925,6
723,492E,18
724,4947,6
725,4951,4
726,4955,12
727,4967,4
728,496E,2
729,4971,4
72X,4975,12
72E,4987,6
730,4991,10
731,49X1,20
732,4X01,X
733,4X0E,6
734,4X15,8
735,4X21,X
736,4X2E,2
737,4X31,26
738,4X57,4
739,4X5E,6
73X,4X65,2
73E,4X67,10
740,4X77,4
741,4X7E,12
742,4X91,6
743,4X97,2X
744,4E05,10
745,4E15,8
746,4E21,6
747,4E27,X
748,4E35,2
749,4E37,4
74X,4E3E,18
74E,4E57,X
750,4E65,8
751,4E71,14
752,4E85,2
753,4E87,X
754,4E95,12
755,4EX7,4
756,4EXE,2
757,4EE1,10
758,5001,6
759,5007,14
75X,501E,6
75E,5025,8
760,5031,4
761,5035,8
762,5041,4
763,5045,6
764,504E,8
765,5057,6
766,5061,6
767,5067,10
768,5077,6
769,5081,4
76X,5085,6
76E,508E,6
770,5095,8
771,50X1,16
772,50E7,4
773,50EE,18
774,5117,4
775,511E,10
776,512E,2
777,5131,X
778,513E,6
779,5145,2
77X,5147,X
77E,5155,10
780,5165,2
781,5167,4
782,516E,18
783,5187,6
784,5191,26
785,51E7,6
786,5201,4
787,5205,8
788,5211,X
789,521E,10
78X,522E,6
78E,5235,2
790,5237,24
791,525E,2
792,5261,6
793,5267,4
794,526E,2
795,5271,14
796,5285,10
797,5295,2
798,5297,6
799,52X1,X
79X,52XE,8
79E,52E7,20
7X0,5317,10
7X1,5327,6
7X2,5331,16
7X3,5347,6
7X4,5351,4
7X5,5355,12
7X6,5367,6
7X7,5371,4
7X8,5375,10
7X9,5385,8
7XX,5391,6
7XE,5397,10
7E0,53X7,4
7E1,53XE,6
7E2,53E5,10
7E3,5405,6
7E4,540E,10
7E5,541E,2
7E6,5421,14
7E7,5435,18
7E8,5451,4
7E9,5455,2
7EX,5457,X
7EE,5465,16
800,547E,8
801,5487,4
802,548E,12
803,54X1,4
804,54X5,2
805,54X7,6
806,54E1,1X
807,550E,6
808,5515,12
809,5527,6
80X,5531,6
80E,5537,X
810,5545,6
811,554E,2
812,5551,X
813,555E,2
814,5561,4
815,5565,2
816,5567,1X
817,5585,2
818,5587,4
819,558E,6
81X,5595,6
81E,559E,10
820,55XE,6
821,55E5,12
822,5607,X
823,5615,10
824,5625,6
825,562E,8
826,5637,4
827,563E,30
828,566E,12
829,5681,10
82X,5691,6
82E,5697,4
830,569E,6
831,56X5,2
832,56X7,10
833,56E7,6
834,5701,10
835,5711,14
836,5725,2
837,5727,X
838,5735,8
839,5741,1X
83X,575E,2
83E,5761,10
840,5771,6
841,5777,4
842,577E,6
843,5785,16
844,579E,2
845,57X1,10
846,57E1,6
847,57E7,4
848,57EE,10
849,580E,8
84X,5817,6
84E,5821,10
850,5831,4
851,5835,6
852,583E,10
853,584E,6
854,5855,2
855,5857,10
856,5867,10
857,5877,4
858,587E,12
859,5891,6
85X,5897,14
85E,58XE,6
860,58E5,2
861,58E7,X
862,5905,8
863,5911,16
864,5927,6
865,5931,2X
866,595E,2
867,5961,24
868,5985,2
869,5987,1X
86X,59X5,6
86E,59XE,2
870,59E1,X
871,59EE,10
872,5X0E,2
873,5X11,6
874,5X17,4
875,5X1E,8
876,5X27,1X
877,5X45,6
878,5X4E,2
879,5X51,X
87X,5X5E,8
87E,5X67,4
880,5X6E,6
881,5X75,8
882,5X81,4
883,5X85,10
884,5X95,16
885,5XXE,10
886,5XEE,18
887,5E17,4
888,5E1E,6
889,5E25,6
88X,5E2E,8
88E,5E37,4
890,5E3E,2
891,5E41,14
892,5E55,10
893,5E65,2
894,5E67,X
895,5E75,8
896,5E81,X
897,5E8E,2
898,5E91,4
899,5E95,6
89X,5E9E,12
89E,5EE1,10
8X0,6001,1X
8X1,601E,8
8X2,6027,24
8X3,604E,2
8X4,6051,4
8X5,6055,18
8X6,6071,4
8X7,6075,2
8X8,6077,4
8X9,607E,12
8XX,6091,X
8XE,609E,10
8E0,60XE,2
8E1,60E1,10
8E2,6101,14
8E3,6115,2
8E4,6117,24
8E5,613E,8
8E6,6147,1X
8E7,6165,8
8E8,6171,4
8E9,6175,6
8EX,617E,6
8EE,6185,12
900,6197,4
901,619E,8
902,61X7,10
903,61E7,6
904,6201,6
905,6207,4
906,620E,18
907,6227,4
908,622E,16
909,6245,2
