[10, 4E]: 2
[11, 4E]: 1
[12, 4E]: 1
[13, 4E]: 2
[14, 4E]: 2
[15, 4E]: 2
[16, 4E]: 1
[17, 4E]: 2
[18, 4E]: 2
[19, 4E]: 2
[1X, 4E]: 2
[1E, 4E]: 1
[20, 4E]: 1
[21, 4E]: 2
[22, 4E]: 2
[23, 4E]: 2
[24, 4E]: 2
[25, 4E]: 2
[26, 4E]: 1
[27, 4E]: 1
[28, 4E]: 1
[29, 4E]: 1
[2X, 4E]: 1
[2E, 4E]: 2
[30, 4E]: 2
[31, 4E]: 1
[32, 4E]: 1
[33, 4E]: 1
[34, 4E]: 1
[35, 4E]: 2
[36, 4E]: 1
[37, 4E]: 1
[38, 4E]: 1
[39, 4E]: 2
[3X, 4E]: 2
[3E, 4E]: 1
[40, 4E]: 2
[41, 4E]: 2
[42, 4E]: 1
[43, 4E]: 2
[44, 4E]: 1
[45, 4E]: 2
[46, 4E]: 1
[47, 4E]: 1
[48, 4E]: 1
[49, 4E]: 2
[4X, 4E]: 25
[1, 50]: 4
[7, 50]: 1
[E, 50]: 1
[11, 50]: 1
[15, 50]: 1
[17, 50]: 1
[1E, 50]: 1
[25, 50]: 1
[27, 50]: 1
[31, 50]: 1
[35, 50]: 1
[37, 50]: 1
[3E, 50]: 1
[41, 50]: 2
[45, 50]: 1
[4E, 50]: 1
[1, 51]: 50
[2, 51]: 1
[3, 51]: 6
[4, 51]: 2
[5, 51]: 2
[6, 51]: 1
[7, 51]: 1
[8, 51]: 3
[9, 51]: 10
[X, 51]: 1
[E, 51]: 13
[10, 51]: 4
[11, 51]: 18
[12, 51]: X
[13, 51]: 4
[14, 51]: 4
[15, 51]: 1
[16, 51]: 1
[17, 51]: 2
[18, 51]: 10
[19, 51]: 5
[1X, 51]: 4
[1E, 51]: 3
[20, 51]: 3
[21, 51]: 4
[22, 51]: 1
[23, 51]: 6
[24, 51]: 3
[25, 51]: 5
[26, 51]: 1
[27, 51]: 1
[28, 51]: 5
[29, 51]: 3
[2X, 51]: 10
[2E, 51]: 1
[30, 51]: 2
[31, 51]: 3
[32, 51]: 3
[33, 51]: 2
[34, 51]: 5
[35, 51]: 6
[36, 51]: 4
[37, 51]: 1
[38, 51]: 1
[39, 51]: 2
[3X, 51]: 2
[3E, 51]: 18
[40, 51]: X
[41, 51]: 2
[42, 51]: 13
[43, 51]: 1
[44, 51]: 6
[45, 51]: 3
[46, 51]: 1
[47, 51]: 1
[48, 51]: 4
[49, 51]: 4
[4X, 51]: 10
[4E, 51]: 1
[50, 51]: 26
[1, 52]: 26
[3, 52]: 1
[5, 52]: X
[7, 52]: 2
[9, 52]: 2
[E, 52]: 1
[11, 52]: 1
[13, 52]: 3
[15, 52]: 1
[17, 52]: 2
[19, 52]: 1
[1E, 52]: 3
[21, 52]: X
[23, 52]: 3
[25, 52]: 3
[29, 52]: 6
[2E, 52]: 6
[31, 52]: 5
[33, 52]: 6
[35, 52]: 2
[37, 52]: 1
[39, 52]: 2
[3E, 52]: 6
[41, 52]: 2
[43, 52]: 2
[45, 52]: 1
[47, 52]: 1
[49, 52]: 5
[4E, 52]: 2
[51, 52]: 13
[1, 53]: 6
[2, 53]: 1
[4, 53]: 2
[5, 53]: 1
[8, 53]: 3
[X, 53]: 1
[E, 53]: 1
[11, 53]: 1
[14, 53]: 2
[15, 53]: 1
[17, 53]: 1
[18, 53]: 1
[1X, 53]: 2
[1E, 53]: 1
[21, 53]: 2
[22, 53]: 1
[25, 53]: 1
[27, 53]: 1
[28, 53]: 1
[2X, 53]: 1
[31, 53]: 2
[32, 53]: 1
[34, 53]: 1
[35, 53]: 1
[37, 53]: 2
[38, 53]: 1
[3X, 53]: 2
[3E, 53]: 1
[42, 53]: 1
[44, 53]: 1
[45, 53]: 1
[47, 53]: 3
[4X, 53]: 2
[4E, 53]: 1
[51, 53]: 1
[52, 53]: 3
[1, 54]: 14
[3, 54]: 1
[5, 54]: 1
[7, 54]: 1
[9, 54]: 2
[E, 54]: 1
[11, 54]: 1
[13, 54]: 1
[15, 54]: 4
[17, 54]: 1
[19, 54]: 1
[1E, 54]: 1
[21, 54]: 2
[23, 54]: 1
[25, 54]: 1
[27, 54]: 1
[29, 54]: 8
[2E, 54]: 1
[31, 54]: 1
[33, 54]: 1
[35, 54]: 2
[37, 54]: 1
[39, 54]: 1
[3E, 54]: 1
[41, 54]: 4
[43, 54]: 1
[45, 54]: 1
[47, 54]: 1
[49, 54]: 2
[4E, 54]: 1
[51, 54]: 1
[53, 54]: 1
[1, 55]: 10
[2, 55]: 1
[3, 55]: 1
[4, 55]: 2
[6, 55]: 1
[7, 55]: 1
[8, 55]: 3
[9, 55]: 2
[E, 55]: 1
[10, 55]: 3
[12, 55]: 6
[14, 55]: 4
[15, 55]: 1
[16, 55]: 3
[17, 55]: 1
[19, 55]: 3
[1X, 55]: 1
[1E, 55]: 1
[20, 55]: 1
[23, 55]: 3
[24, 55]: 1
[25, 55]: 2
[27, 55]: 3
[28, 55]: 1
[29, 55]: 1
[2X, 55]: 3
[30, 55]: 2
[31, 55]: 1
[32, 55]: 3
[35, 55]: 1
[36, 55]: 1
[37, 55]: 1
[38, 55]: 3
[3X, 55]: 1
[3E, 55]: 3
[40, 55]: 1
[41, 55]: 2
[43, 55]: 6
[45, 55]: 3
[46, 55]: 1
[48, 55]: 2
[49, 55]: 3
[4X, 55]: 1
[4E, 55]: 1
[51, 55]: 4
[52, 55]: 1
[53, 55]: 1
[54, 55]: 6
[1, 56]: X
[5, 56]: 1
[7, 56]: 1
[11, 56]: 1
[15, 56]: 1
[17, 56]: 1
[1E, 56]: 5
[21, 56]: 2
[25, 56]: 1
[27, 56]: 2
[2E, 56]: 1
[31, 56]: 2
[35, 56]: 1
[37, 56]: 5
[3E, 56]: 1
[41, 56]: 2
[45, 56]: 1
[4E, 56]: 1
[51, 56]: 1
[55, 56]: 5
[1, 57]: 56
