[541, 10]: 493
[541, 12]: 809
[541, 15]: 115
[541, 18]: 577
[541, 20]: 294
[541, 27]: 599
[541, 30]: 875
[541, 36]: 743
[541, 45]: 666
[541, 54]: 475
[541, 60]: 231
[541, 90]: 171
[541, 108]: 509
[541, 135]: 675
[541, 180]: 255
[541, 270]: 19
[541, 540]: 297
[547, 1]: 1095
[547, 2]: 1093
[547, 3]: 40
[547, 6]: 41
[547, 7]: 9
[547, 13]: 237
[547, 14]: 243
[547, 21]: 561
[547, 26]: 585
[547, 39]: 54
[547, 42]: 424
[547, 78]: 106
[547, 91]: 218
[547, 182]: 279
[547, 273]: 142
[547, 546]: 1203
[557, 1]: 1115
[557, 2]: 1113
[557, 4]: 2110
[557, 139]: 463
[557, 278]: 25
[557, 556]: 5
[563, 1]: 1127
[563, 2]: 1125
[563, 281]: 365
[563, 562]: 650
[569, 1]: 1139
[569, 2]: 1137
[569, 4]: 86
[569, 8]: 1984
[569, 71]: 5
[569, 142]: 784
[569, 284]: 28
[569, 568]: 248
[571, 1]: 1143
[571, 2]: 1141
[571, 3]: 461
[571, 5]: 738
[571, 6]: 462
[571, 10]: 1607
[571, 15]: 468
[571, 19]: 323
[571, 30]: 71
[571, 38]: 248
[571, 57]: 309
[571, 95]: 2097
[571, 114]: 2
[571, 190]: 156
[571, 285]: 274
[571, 570]: 574
[577, 1]: 1155
[577, 2]: 1153
[577, 3]: 213
[577, 4]: 1130
[577, 6]: 214
[577, 8]: 152
[577, 9]: 546
[577, 12]: 57
[577, 16]: 648
[577, 18]: 31
[577, 24]: 64
[577, 32]: 704
[577, 36]: 16
[577, 48]: 8
[577, 64]: 78
[577, 72]: 4
[577, 96]: 11
[577, 144]: 2
[577, 192]: 1241
[577, 288]: 283
[577, 576]: 161
[587, 1]: 1175
[587, 2]: 1173
[587, 293]: 194
[587, 586]: 368
[593, 1]: 1187
[593, 2]: 1185
[593, 4]: 516
[593, 8]: 392
[593, 16]: 94
[593, 37]: 813
[593, 74]: 514
[593, 148]: 1043
[593, 296]: 66
[593, 592]: 10
[599, 1]: 1199
[599, 2]: 1197
[599, 13]: 270
[599, 23]: 1349
[599, 26]: 238
[599, 46]: 1095
[599, 299]: 67
[599, 598]: 291
[601, 1]: 1203
[601, 2]: 1201
[601, 3]: 1226
[601, 4]: 726
[601, 5]: 32
[601, 6]: 1227
[601, 8]: 1744
[601, 10]: 287
[601, 12]: 120
[601, 15]: 151
[601, 20]: 2314
[601, 24]: 328
[601, 25]: 2
[601, 30]: 37
[601, 40]: 285
[601, 50]: 345
[601, 60]: 418
[601, 75]: 305
[601, 100]: 1150
[601, 120]: 71
[601, 150]: 74
[601, 200]: 349
[601, 300]: 484
[601, 600]: 22
[607, 1]: 1215
[607, 2]: 1213
[607, 3]: 210
[607, 6]: 211
[607, 101]: 47
[607, 202]: 58
[607, 303]: 2
[607, 606]: 1040
[613, 1]: 1227
[613, 2]: 1225
[613, 3]: 65
[613, 4]: 35
[613, 6]: 66
[613, 9]: 318
[613, 12]: 142
[613, 17]: 840
[613, 18]: 759
[613, 34]: 386
[613, 36]: 696
[613, 51]: 1644
[613, 68]: 426
[613, 102]: 248
[613, 153]: 427
[613, 204]: 435
[613, 306]: 234
[613, 612]: 273
[617, 1]: 1235
[617, 2]: 1233
[617, 4]: 194
[617, 7]: 420
[617, 8]: 1712
[617, 11]: 113
[617, 14]: 126
[617, 22]: 225
[617, 28]: 1615
[617, 44]: 15
[617, 56]: 103
[617, 77]: 102
[617, 88]: 10
[617, 154]: 625
[617, 308]: 25
[617, 616]: 5
[619, 1]: 1239
[619, 2]: 1237
[619, 3]: 252
[619, 6]: 253
[619, 103]: 141
[619, 206]: 95
[619, 309]: 6
[619, 618]: 10
[631, 1]: 1263
[631, 2]: 1261
[631, 3]: 43
[631, 5]: 910
[631, 6]: 44
[631, 7]: 427
[631, 9]: 114
[631, 10]: 352
[631, 14]: 30
[631, 15]: 8
[631, 18]: 886
[631, 21]: 1324
[631, 30]: 5491
[631, 35]: 1298
[631, 42]: 569
[631, 45]: 2
[631, 63]: 354
[631, 70]: 122
[631, 90]: 175
[631, 105]: 179
[631, 126]: 1766
[631, 210]: 236
[631, 315]: 17
[631, 630]: 65
[641, 1]: 1283
[641, 2]: 1281
[641, 4]: 154
[641, 5]: 1113
[641, 8]: 256
[641, 10]: 3925
[641, 16]: 16
[641, 20]: 789
[641, 32]: 4
[641, 40]: 271
[641, 64]: 2
[641, 80]: 18
[641, 128]: 610
[641, 160]: 149
[641, 320]: 90
[641, 640]: 24
[643, 1]: 1287
[643, 2]: 1285
[643, 3]: 465
[643, 6]: 466
[643, 107]: 373
[643, 214]: 2
[643, 321]: 39
[643, 642]: 236
[647, 1]: 1295
[647, 2]: 1293
[647, 17]: 218
[647, 19]: 904
[647, 34]: 92
