1,E
174,EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0001
175,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
176,1000EEEEEXEEE000001000EEEEEXEEE000000EEEEEXEEE000001000EEEEEXEEE000001001
177,E0000E0000E0000E0000E0000E0000E0000E0000E0000E0E00E0E00E0E00E0E00E0E00E0E00E0E00E0E00E0E00E0E0EE0E0EE0E0EE0E0EE0E0EE0E0EE0E0EE0E0EE0E0EE0E0EEEE0EEEE0EEEE0EEEE0EEEE0EEEE0EEEE0EEEE0EEEE1
178,EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE01
179,E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE1
17X,10EEEEEXE0000010EXXEEXE0110010EXE00EE010EE00EXE00EXE00EE010EE00EXE0110010EXXEEXE010EEEEEXE0000011
17E,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
180,100000000EEEEEEEEEEEEEEEXEEEEEEEXEEEEEEEE000000000000000100000001
181,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
182,EEEEEEEEEEE00000000000EEEEEEEEEEE00000000000EEEEEEEEEEE00000000000EEEEEEEEEEE00000000000EEEEEEEEEEE00000000001
183,1000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001
184,EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE01
185,EEEEEEE0000000000000000000000000000EEEEEEE0000000EEEEEEE00000000000000EEEEEEE0000000EEEEEEE0000000EEEEEEEEEEEEEE0000000EEEEEEE0000000EEEEEEEEEEEEEEEEEEEEEEEEEEEE0000001
186,10EXE010EXE010EXE010EXE010EXE010EXE010EXXE010EXE010EXE010EXE010EXE010EXE010EXE011
187,E000000000000E00000E000000E00000E00000EE00000E00000EE0000EE00000EE0000EE0000EEE0000EE0000EEE000EEE0000EEE000EEE000EEEE000EEE000EEEE00EEEE000EEEE00EEEE00EEEEE00EEEE00EEEEE0EEEEE00EEEEE0EEEEE0EEEEEE0EEEEE0EEEEEEEEEEEE1
188,EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0001
189,E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE1
18X,EEEEEEEEEEEEEEEEEEEEEEEEE0000000000000000000000000EEEEEEEEEEEEEEEEEEEEEEEEE0000000000000000000000001
18E,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
190,1000000EEEEEEEEEEEXEEEEEE000000000000EEEEEEEEEEEXEEEEEE000000000001000001
191,E0000000000E0000000000EE000000000EE000000000EEE00000000EEE00000000EEEE0000000EEEE0000000EEEEE000000EEEEE000000EEEEEE00000EEEEEE00000EEEEEEE0000EEEEEEE0000EEEEEEEE000EEEEEEEE000EEEEEEEEE00EEEEEEEEE00EEEEEEEEEE0EEEEEEEEEE1
192,E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E1
193,110EEXXE000000010EXXXE0110000010EXXXE0110000010EXXE0120EXXE010EXXE010EXXE0120EXXE0110000010EXXXE0110000010EXXXE010EEEEEEEXXE00111
194,100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
195,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
196,10EXE010EXE010EXE010EXE010EXE010EXE010EXE00EXE010EXE010EXE010EXE010EXE010EXE010EXE011
197,E000000E000000E000000E000000E000000E0E0000E0E0000E0E0000E0E0000E0E0000E0E0E00E0E0E00E0E0E00E0E0E00E0E0E00E0E0E0EE0E0E0EE0E0E0EE0E0E0EE0E0E0EE0E0E0EEEE0E0EEEE0E0EEEE0E0EEEE0E0EEEE0E0EEEEEE0EEEEEE0EEEEEE0EEEEEE0EEEEEE1
198,100EEEEEEEXEE0000000100EEEXEXEXEE0001010100EEEXEXEE0001010100EEEXEXEXEE000100EEEEEEEXEE0000000101
199,EEE000000EEE000000EEE000000EEE000000EEE000000EEE000000EEE000000EEE000000EEE000000EEE000EEEEEE000EEEEEE000EEEEEE000EEEEEE000EEEEEE000EEEEEE000EEEEEE000EEEEEE000EEEEEE001
19X,E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E1
