642,7E27,1
643,101EE,625
644,E685,515
645,13551,90
646,492E,62E
647,200X1,17X
648,521E,47E
649,X59E,438
64X,19757,343
64E,22021,461
650,3171,561
651,16E77,298
652,12201,299
653,10561,154
654,E495,155
655,1745E,2E
656,3277,641
657,22XE7,620
658,9615,411
659,10E5E,658
65X,84EE,385
65E,105EE,7X
660,5271,411
661,24E47,262
662,7E27,403
663,1318E,582
664,7521,439
665,23241,618
666,6197,1X1
667,22157,582
668,X08E,28E
669,7531,3E4
66X,6X47,367
66E,18X0E,21
670,5145,215
671,1573E,53
672,1048E,373
673,1211E,408
674,7X81,215
675,19757,144
676,5537,581
677,19755,98
678,988E,3X7
679,E84E,X2
67X,997E,469
67E,1E385,67X
680,53X7,3X7
681,1X76E,477
682,9X41,493
683,14445,252
684,X32E,28E
685,17E57,4E0
686,440E,515
687,30351,579
688,8755,275
689,99E1,364
68X,7287,5X7
68E,34E67,607
690,5331,261
691,18531,201
692,766E,279
693,795E,558
694,105X1,89
695,25855,379
696,4681,41
697,1935E,3E4
698,853E,607
699,1169E,618
69X,1016E,245
69E,2907E,89
6X0,57X1,641
6X1,12681,380
6X2,6115,479
6X3,XX45,18
6X4,76E7,193
6X5,22X5E,669
6X6,3X7E,54E
6X7,23471,518
6X8,8015,669
6X9,11515,262
6XX,E337,419
6XE,15E61,138
6E0,4X0E,28E
6E1,20041,458
6E2,9X17,39
6E3,102E1,12X
6E4,8081,649
6E5,171XE,62
6E6,7921,287
6E7,21527,586
6E8,X80E,26E
6E9,9027,364
6EX,X535,663
6EE,1E935,569
700,4071,671
701,27441,4E8
702,6X17,4E9
703,14E85,12
704,11E4E,593
705,2591E,551
706,5927,5X1
707,14315,498
708,823E,673
709,1110E,185
70X,8X47,41
70E,238X5,34
710,4111,671
711,23EXE,280
712,7617,4E7
713,10875,352
714,10135,309
715,14727,704
716,7955,9E
717,20397,663
718,X745,601
719,10841,234
71X,7705,525
71E,2X8E5,183
720,50X1,361
721,244X1,382
722,8E37,693
723,E387,641
724,8571,X5
725,223XE,630
726,5405,645
727,2265E,103
728,89E7,4X3
729,18937,361
72X,11911,5X9
72E,15EXE,5X4
730,6345,2X5
731,1447E,88
732,125X5,697
733,19317,7X
734,10XX7,207
735,24515,603
736,367E,625
737,20597,1X3
738,E351,3E1
739,X297,597
73X,E52E,55E
73E,1E8EE,671
740,6001,601
741,191X7,439
742,8195,233
743,11XE7,521
744,6675,501
745,27807,434
746,4435,7E
747,23097,746
748,870E,703
749,104X1,E1
74X,XE3E,559
74E,1E205,3X6
750,6525,305
751,24345,538
752,6921,6X5
753,13775,182
754,X0E5,1X1
755,25EEE,23E
756,5057,97
757,16521,482
758,1053E,743
759,13E2E,432
75X,X4X1,509
75E,20277,5X9
760,4425,725
761,2734E,9
762,1XX47,3X7
763,163X7,194
764,13245,185
765,1423E,5E6
766,5E67,381
767,22285,526
768,1204E,223
769,12961,36X
76X,7507,595
76E,27105,196
770,449E,73E
771,3027E,202
772,1112E,537
773,E205,492
774,E541,41
775,25565,313
776,6911,4X1
777,1946E,488
778,E761,201
779,15X01,76X
77X,9601,6X5
77E,3064E,198
780,7015,755
781,1444E,46X
782,E4E1,643
783,EX87,441
784,11415,629
785,28X8E,1E8
786,39X7,741
787,239X1,210
788,101EE,6EE
789,1374E,1XE
78X,1000E,49E
78E,193X7,44
790,6617,77
791,23X11,66
792,923E,177
793,209XE,275
794,5E55,155
795,1X15E,99
796,656E,755
797,32911,4E8
798,120E5,505
799,101E1,537
79X,12445,41
79E,17531,636
7X0,6375,515
7X1,209E1,7X0
7X2,71E7,75E
7X3,16911,521
7X4,14097,417
7X5,26E67,190
7X6,57E7,4E7
7X7,1XE5E,761
7X8,11815,641
7X9,174E7,3EX
7XX,10297,467
7XE,26951,56E
7E0,5E2E,7XE
7E1,1X755,207
7E2,10781,EE
7E3,1539E,155
7E4,E051,539
7E5,181E7,351
7E6,8595,635
7E7,2E0EE,697
7E8,879E,23
7E9,208X7,17X
7EX,9077,499
7EE,25EX1,1X
800,675E,75E
801,27E17,698
802,10611,5X1
803,8511,4X1
804,X711,681
805,283EE,23E
806,10847,777
807,26791,56X
808,7E25,671
809,12E5E,215
80X,10061,73E
80E,23X57,340
810,604E,78E
811,24151,588
812,E945,387
813,1503E,188
814,XE41,169
815,18075,524
816,4401,331
817,25967,7X6
818,11675,7E9
819,12785,478
81X,10747,477
81E,21E6E,161
820,68E5,755
821,21881,630
822,997E,317
823,18657,X1
824,7395,5X1
825,34E21,736
826,8417,177
827,2002E,86
828,10297,703
829,122EE,64E
82X,12421,755
82E,2533E,515
830,71E5,355
831,37E21,6EX
832,7E65,477
833,1E625,EE
834,15361,69
835,35221,546
836,7045,155
837,27X01,33
838,8175,631
839,15E61,784
83X,E891,779
83E,2305E,811
840,4X15,815
841,37017,746
842,144X5,4X7
843,14115,E8
844,X497,78E
845,2020E,569
846,7287,2E7
847,24641,709
848,16845,631
849,1755E,698
84X,7101,E9
84E,2X6X7,298
850,102E1,3X1
851,3868E,408
852,17551,597
853,17EX1,371
854,E705,3E1
855,295E5,48X
856,555E,635
857,29285,X0
858,E271,761
859,15X37,23X
85X,E481,X9
85E,31E4E,534
860,7587,487
861,19027,562
862,11537,807
863,15321,281
864,1770E,49E
865,37X31,578
866,5785,7XE
867,27867,44E
868,11291,491
869,21761,79X
86X,161E7,389
86E,22621,X2
870,67EE,28E
871,29E71,3X2
872,E85E,2E3
873,11365,47E
874,9X71,679
875,30X47,2X4
876,7797,567
877,34575,229
878,X1X7,E3
879,11X21,1XX
87X,93EE,81E
87E,36547,715
880,7507,247
881,2638E,816
882,E73E,53
883,16541,41X
884,1283E,253
885,2911E,572
886,5701,607
887,21495,857
888,10E75,741
889,200E5,X8
88X,X157,7X9
88E,3212E,273
890,5057,7E7
891,2EE57,246
892,19721,503
893,1X645,72E
894,1194E,74E
895,20951,764
896,711E,605
897,2910E,118
898,13245,631
899,1X84E,805
89X,9X47,389
89E,21735,723
8X0,633E,47E
8X1,25E1E,567
8X2,12X2E,137
8X3,15801,844
8X4,XE6E,763
8X5,2E205,52X
8X6,XE2E,6EE
8X7,27671,567
8X8,8441,269
8X9,13415,625
8XX,11381,83E
8XE,33317,79E
8E0,9387,487
8E1,2536E,368
8E2,1281E,659
8E3,1675E,8
8E4,99E1,179
8E5,2799E,5X5
8E6,558E,305
8E7,35837,726
8E8,120E5,755
8E9,20647,707
8EX,11E4E,57E
8EE,2026E,297
900,6495,495
901,302XE,26E
902,X605,8X3
903,15E45,7X8
904,X90E,283
905,2X1E1,344
906,75E5,86E
907,252EE,719
908,12391,891
909,115X7,79X
90X,12811,393
90E,35E85,460
910,9615,515
911,22X6E,450
912,12825,343
913,1E09E,385
914,EX87,607
915,3X385,875
916,11755,83E
917,29E9E,603
918,14255,265
919,1X71E,5E2
91X,10X87,833
91E,36395,400
920,609E,87E
921,2X005,449
922,1469E,605
923,1673E,29E
924,12527,787
925,25XX7,4
926,8E17,5X1
927,38E81,523
928,16E97,657
929,1EX17,4
92X,12345,515
92E,23761,800
930,8691,101
931,309EE,6E0
932,XE47,183
933,19711,894
934,12147,247
935,31E17,22
936,8967,341
937,285E1,882
938,12XXE,213
939,14X2E,682
93X,EX71,297
93E,33921,164
940,73EE,3EE
941,33697,795
942,11X87,799
943,22845,23E
944,14E85,715
945,32195,815
946,X971,787
947,3656E,2E5
948,1283E,73E
949,19265,X2
94X,1883E,3X3
94E,308E7,815
950,8081,261
951,27X9E,5X7
952,11E37,6E9
953,1X715,6X5
954,13291,339
955,36E31,4X7
956,XE97,8X1
957,37847,396
958,E181,109
959,11537,1X
95X,1435E,593
95E,37E7E,566
960,794E,7XE
961,46935,138
962,10X15,1X9
963,20X0E,2E2
964,94X5,809
965,2E42E,487
966,X915,50E
967,3X061,82X
968,12307,873
969,1E987,84X
96X,1026E,305
96E,31677,66
970,672E,26E
971,31641,923
972,10187,191
973,20347,331
974,14307,29E
975,22471,899
976,56X7,917
977,2X7X7,186
978,19545,691
979,21301,3EX
97X,14807,6EE
97E,2655E,810
980,X421,821
981,2802E,6E8
982,154E5,57E
983,14997,807
984,1333E,89E
985,33661,8X1
986,9701,827
987,2902E,777
988,7E67,807
989,219E5,842
98X,200E5,673
98E,32X41,850
990,8945,7X5
991,24081,4E3
992,13E1E,579
993,1869E,268
994,11911,879
995,3E06E,6X2
996,X6X5,945
997,35005,213
998,17EX1,461
999,222X5,X5
99X,E541,983
99E,25281,690
9X0,68E5,235
9X1,40097,609
9X2,18497,857
9X3,1X557,34X
9X4,13XX1,359
9X5,24E71,226
9X6,9015,945
9X7,48445,449
9X8,16XEE,953
9X9,13995,192
9XX,10E41,697
9XE,3EE77,X5
9E0,7X51,521
9E1,40E05,166
9E2,9065,929
9E3,19317,684
9E4,1EX67,813
9E5,47X07,338
9E6,X90E,96E
9E7,29185,908
9E8,12751,5X9
9E9,273E1,684
9EX,11X57,683
9EE,38E37,980
X00,6E81,381
X01,3823E,9E7
X02,12651,423
X03,149E1,161
X04,1897E,8EE
X05,24677,155
X06,X137,97
X07,38347,8X3
X08,13E8E,83
X09,16697,151
X0X,114X7,9X1
X0E,37011,224
X10,8847,367
X11,35061,821
X12,145X5,603
X13,160EE,498
X14,10E3E,37E
X15,41145,263
X16,X08E,945
X17,45411,194
X18,121E5,789
X19,29815,852
X1X,146XE,601
X1E,29E9E,153
X20,X43E,23E
X21,282E5,43
